,Title,Date,Fragments,,,,Lab/Ops,Principles,,,,
63,"Experiments and considerations touching colours first occasionally written, among some other essays to a friend, and now suffer'd to come abroad as the beginning of an experimental history of colours / by the Honourable Robert Boyle ...",1664-01-01,but also all the alcalizate salts i have imploy d as,,,,1,,,,,
64,"Experiments and considerations touching colours first occasionally written, among some other essays to a friend, and now suffer'd to come abroad as the beginning of an experimental history of colours / by the Honourable Robert Boyle ...",1664-01-01,examine whether or no the salt predominant in a liquor or,,,,1,,,,,
65,"Experiments and considerations touching colours first occasionally written, among some other essays to a friend, and now suffer'd to come abroad as the beginning of an experimental history of colours / by the Honourable Robert Boyle ...",1664-01-01,a milk white precipitate of mercury into a yellow by affusion,,,,1,,,,,
68,"Experiments and considerations touching colours first occasionally written, among some other essays to a friend, and now suffer'd to come abroad as the beginning of an experimental history of colours / by the Honourable Robert Boyle ...",1664-01-01,likewise of alcalizate and acid salts and in what particulars colours,,,,1,,,,,
69,"Experiments and considerations touching colours first occasionally written, among some other essays to a friend, and now suffer'd to come abroad as the beginning of an experimental history of colours / by the Honourable Robert Boyle ...",1664-01-01,d by and with the salts that concurr to the composition,,,,1,,,,,
70,"Jacob Behmen's theosophick philosophy unfolded in divers considerations and demonstrations, shewing the verity and utility of the several doctrines or propositions contained in the writings of that divinely instructed author : also, the principal treatises of the said author abridged, and answers given to the remainder of the 177 theosophick questions, propounded by the said Jacob Behmen, which were left unanswered by him at the time of his death : as a help towards the better understanding the Old and New Testament : also what man is with respect to time and eternity, being an open gate to the great mysteries / by Edward Taylor ; with a short account of the life of Jacob Behmen.",1691-01-01,savour wherewith shall it be salted of the tincture comes the,,,,1,,,,,
84,"Curiosities in chymistry being new experiments and observations concerning the principles of natural bodies / written by a person of honour ; and published by his operator, H.G.",1691-01-01,the nature of a fixt salt and are really turned into,,,,1,,,,,
85,"Curiosities in chymistry being new experiments and observations concerning the principles of natural bodies / written by a person of honour ; and published by his operator, H.G.",1691-01-01,totally reduced to an aequiponderant salt and this into insipid water,,,,1,,,,,
86,"Curiosities in chymistry being new experiments and observations concerning the principles of natural bodies / written by a person of honour ; and published by his operator, H.G.",1691-01-01,perfectly freed from the volatile salt that tis yet impregnated with,,,,1,,,,,
87,"Curiosities in chymistry being new experiments and observations concerning the principles of natural bodies / written by a person of honour ; and published by his operator, H.G.",1691-01-01,this acid cast a little sulphur upon the salt when tis,,,,1,,,,,
88,"Curiosities in chymistry being new experiments and observations concerning the principles of natural bodies / written by a person of honour ; and published by his operator, H.G.",1691-01-01,which aqua fortis spirit of salt and other acid spirits also,,,,1,,,,,
89,"Curiosities in chymistry being new experiments and observations concerning the principles of natural bodies / written by a person of honour ; and published by his operator, H.G.",1691-01-01,do always afford less fixt salt than green ones whence it,,,,1,,,,,
90,"Curiosities in chymistry being new experiments and observations concerning the principles of natural bodies / written by a person of honour ; and published by his operator, H.G.",1691-01-01,be reviv d into running mercury by being distill d from,,,,1,,,,,
91,"The [s]ceptical chymist, or, Chymico-physical doubts & paradoxes touching the spagyrist's principles commonly call'd hypostatical, [a]s they are wont to be propos'd and defended by the generality of alchymists : whereunto is præmis'd part of another discourse relating to the same subject / by the Honourable Robert Boyle.",1661-01-01,to joyn with the added salts the metalline part will be,,,,1,,,,,
93,"The [s]ceptical chymist, or, Chymico-physical doubts & paradoxes touching the spagyrist's principles commonly call'd hypostatical, [a]s they are wont to be propos'd and defended by the generality of alchymists : whereunto is præmis'd part of another discourse relating to the same subject / by the Honourable Robert Boyle.",1661-01-01,have divers times separated a salt from oyle of vitriol it,,,,1,,,,,
94,"The [s]ceptical chymist, or, Chymico-physical doubts & paradoxes touching the spagyrist's principles commonly call'd hypostatical, [a]s they are wont to be propos'd and defended by the generality of alchymists : whereunto is præmis'd part of another discourse relating to the same subject / by the Honourable Robert Boyle.",1661-01-01,calcin d lead the acid salt of the liquor will by,,,,1,,,,,
95,"The [s]ceptical chymist, or, Chymico-physical doubts & paradoxes touching the spagyrist's principles commonly call'd hypostatical, [a]s they are wont to be propos'd and defended by the generality of alchymists : whereunto is præmis'd part of another discourse relating to the same subject / by the Honourable Robert Boyle.",1661-01-01,caustick lixiviate tast of other salts made by incineration but because,,,,1,,,,,
96,"The [s]ceptical chymist, or, Chymico-physical doubts & paradoxes touching the spagyrist's principles commonly call'd hypostatical, [a]s they are wont to be propos'd and defended by the generality of alchymists : whereunto is præmis'd part of another discourse relating to the same subject / by the Honourable Robert Boyle.",1661-01-01,as the steames of common salt c of a saline and,,,,1,,,,,
97,"The [s]ceptical chymist, or, Chymico-physical doubts & paradoxes touching the spagyrist's principles commonly call'd hypostatical, [a]s they are wont to be propos'd and defended by the generality of alchymists : whereunto is præmis'd part of another discourse relating to the same subject / by the Honourable Robert Boyle.",1661-01-01,the power of coagulation to sulphur as well odours as inflamableness,,,,1,,,,,
98,"The secrets of physick and philosophy divided into two bookes: in the first is shewed the true and perfect order to distill, or draw forth the oyles of all manner of gummes, spices, seedes, roots, and hearbs, with their perfect taste, smell and vertues. In the second is shewed the true and perfect order to prepare, calcine, sublime, and dissolue all manner of minerals, and how ye shall draw forth their oyles and salts, which are most wonderfull in their operations, for the health of mans bodie. First written in the German tongue by the most learned Theophrastus Paraselsus, and now published in the English tongue, by Iohn Hester, practitioner in the art of distillation.",1633-01-01,hereafter one pound grinde these saltes together with the mercury so,,,,1,,,,,
99,"The secrets of physick and philosophy divided into two bookes: in the first is shewed the true and perfect order to distill, or draw forth the oyles of all manner of gummes, spices, seedes, roots, and hearbs, with their perfect taste, smell and vertues. In the second is shewed the true and perfect order to prepare, calcine, sublime, and dissolue all manner of minerals, and how ye shall draw forth their oyles and salts, which are most wonderfull in their operations, for the health of mans bodie. First written in the German tongue by the most learned Theophrastus Paraselsus, and now published in the English tongue, by Iohn Hester, practitioner in the art of distillation.",1633-01-01,vineger to make the aforesaid salts fol   to draw,,,,1,,,,,
100,"The secrets of physick and philosophy divided into two bookes: in the first is shewed the true and perfect order to distill, or draw forth the oyles of all manner of gummes, spices, seedes, roots, and hearbs, with their perfect taste, smell and vertues. In the second is shewed the true and perfect order to prepare, calcine, sublime, and dissolue all manner of minerals, and how ye shall draw forth their oyles and salts, which are most wonderfull in their operations, for the health of mans bodie. First written in the German tongue by the most learned Theophrastus Paraselsus, and now published in the English tongue, by Iohn Hester, practitioner in the art of distillation.",1633-01-01,take   of the salt halfe a scruple theriaca alexandria,,,,1,,,,,
101,"The secrets of physick and philosophy divided into two bookes: in the first is shewed the true and perfect order to distill, or draw forth the oyles of all manner of gummes, spices, seedes, roots, and hearbs, with their perfect taste, smell and vertues. In the second is shewed the true and perfect order to prepare, calcine, sublime, and dissolue all manner of minerals, and how ye shall draw forth their oyles and salts, which are most wonderfull in their operations, for the health of mans bodie. First written in the German tongue by the most learned Theophrastus Paraselsus, and now published in the English tongue, by Iohn Hester, practitioner in the art of distillation.",1633-01-01,crusible and put therein the mercury and set it on the,,,,1,,,,,
102,"The secrets of physick and philosophy divided into two bookes: in the first is shewed the true and perfect order to distill, or draw forth the oyles of all manner of gummes, spices, seedes, roots, and hearbs, with their perfect taste, smell and vertues. In the second is shewed the true and perfect order to prepare, calcine, sublime, and dissolue all manner of minerals, and how ye shall draw forth their oyles and salts, which are most wonderfull in their operations, for the health of mans bodie. First written in the German tongue by the most learned Theophrastus Paraselsus, and now published in the English tongue, by Iohn Hester, practitioner in the art of distillation.",1633-01-01,plates and cover them with sulphur then lay another bed and,,,,1,,,,,
103,"The secrets of physick and philosophy divided into two bookes: in the first is shewed the true and perfect order to distill, or draw forth the oyles of all manner of gummes, spices, seedes, roots, and hearbs, with their perfect taste, smell and vertues. In the second is shewed the true and perfect order to prepare, calcine, sublime, and dissolue all manner of minerals, and how ye shall draw forth their oyles and salts, which are most wonderfull in their operations, for the health of mans bodie. First written in the German tongue by the most learned Theophrastus Paraselsus, and now published in the English tongue, by Iohn Hester, practitioner in the art of distillation.",1633-01-01,pater nosters and then the salt will seeth away and the,,,,1,,,,,
104,"The secrets of physick and philosophy divided into two bookes: in the first is shewed the true and perfect order to distill, or draw forth the oyles of all manner of gummes, spices, seedes, roots, and hearbs, with their perfect taste, smell and vertues. In the second is shewed the true and perfect order to prepare, calcine, sublime, and dissolue all manner of minerals, and how ye shall draw forth their oyles and salts, which are most wonderfull in their operations, for the health of mans bodie. First written in the German tongue by the most learned Theophrastus Paraselsus, and now published in the English tongue, by Iohn Hester, practitioner in the art of distillation.",1633-01-01,in bailneo mariae and the salt will remaine in the bottome,,,,1,,,,,
105,"The chymical Galenist a treatise, wherein the practise of the ancients is reconcild́ to the new discoveries in the theory of physick, shewing that many of their rules, methods, and medicins, are useful for by George Castle ...",1667-01-01,or deprest and the gross salts either being disjoin d from,,,,1,,,,,
106,"The chymical Galenist a treatise, wherein the practise of the ancients is reconcild́ to the new discoveries in the theory of physick, shewing that many of their rules, methods, and medicins, are useful for by George Castle ...",1667-01-01,their effects by their volatil salts ib unnumbered why it is,,,,1,,,,,
107,"The chymical Galenist a treatise, wherein the practise of the ancients is reconcild́ to the new discoveries in the theory of physick, shewing that many of their rules, methods, and medicins, are useful for by George Castle ...",1667-01-01,chymistry in affirming that the sulphur is lighter med p,,,,1,,,,,
108,"The chymical Galenist a treatise, wherein the practise of the ancients is reconcild́ to the new discoveries in the theory of physick, shewing that many of their rules, methods, and medicins, are useful for by George Castle ...",1667-01-01,person asserts is that nitro sulphureous spirits or salts are as,,,,1,,,,,
110,"The chymical Galenist a treatise, wherein the practise of the ancients is reconcild́ to the new discoveries in the theory of physick, shewing that many of their rules, methods, and medicins, are useful for by George Castle ...",1667-01-01,highly exalted for the vitriolick salt of steel in which much,,,,1,,,,,
114,"Moffet-well, or, A topographico-spagyricall description of the minerall wells, at Moffet in Annandale of Scotland translated, and much enlarged, by the author Matthew Mackaile ... ; as also, The oyly-well, or, A topographico-spagyricall description of the oyly-well, at St. Catharines Chappel in the paroch of Libberton ; to these is subjoyned, A character of Mr. Culpeper and his writings, by the same author.",1664-01-01,brimstone which is its volatile salt dissolved into a liquor by,,,,1,,,,,
117,"Moffet-well, or, A topographico-spagyricall description of the minerall wells, at Moffet in Annandale of Scotland translated, and much enlarged, by the author Matthew Mackaile ... ; as also, The oyly-well, or, A topographico-spagyricall description of the oyly-well, at St. Catharines Chappel in the paroch of Libberton ; to these is subjoyned, A character of Mr. Culpeper and his writings, by the same author.",1664-01-01,which is impregnat with the sulphur of antimony passeth through other,,,,1,,,,,
118,"Moffet-well, or, A topographico-spagyricall description of the minerall wells, at Moffet in Annandale of Scotland translated, and much enlarged, by the author Matthew Mackaile ... ; as also, The oyly-well, or, A topographico-spagyricall description of the oyly-well, at St. Catharines Chappel in the paroch of Libberton ; to these is subjoyned, A character of Mr. Culpeper and his writings, by the same author.",1664-01-01,maturity i said  the salt of a vegetable because no,,,,1,,,,,
119,"Doron medicum, or, A supplement to the new London dispensatory in III books : containing a supplement I. to the materia medica, II. to the internal compound medicaments, III. to the external compound medicaments : compleated with the art of compounding medicines ... / by William Salmon ...",1683-01-01,the rectification of other volatile salts so will you perceive the,,,,1,,,,,
120,"Doron medicum, or, A supplement to the new London dispensatory in III books : containing a supplement I. to the materia medica, II. to the internal compound medicaments, III. to the external compound medicaments : compleated with the art of compounding medicines ... / by William Salmon ...",1683-01-01,of fire till all the sulphurous spirit both of the salt,,,,1,,,,,
124,"Doron medicum, or, A supplement to the new London dispensatory in III books : containing a supplement I. to the materia medica, II. to the internal compound medicaments, III. to the external compound medicaments : compleated with the art of compounding medicines ... / by William Salmon ...",1683-01-01,a little smoak the volatile salts are but weakned and so,,,,1,,,,,
133,"New observations on the natural history of this world of matter, and this world of life in two parts : being a philosophical discourse, grounded upon the Mosaick system of the creation and the flood : to which are added some thoughts concerning paradise, the conflagration by Tho. Robinson ...",1696-01-01,minerals of salt sulphur and mercury to the several degrees and,,,,1,,,,,
134,"New observations on the natural history of this world of matter, and this world of life in two parts : being a philosophical discourse, grounded upon the Mosaick system of the creation and the flood : to which are added some thoughts concerning paradise, the conflagration by Tho. Robinson ...",1696-01-01,pneumatical ingredients whereof are bitumen sulphur and nitre bitumen gives the,,,,1,,,,,
135,"New observations on the natural history of this world of matter, and this world of life in two parts : being a philosophical discourse, grounded upon the Mosaick system of the creation and the flood : to which are added some thoughts concerning paradise, the conflagration by Tho. Robinson ...",1696-01-01,volatile matter consisting of sublimated sulphur nitre and bitumen keeps possession,,,,1,,,,,
136,"New observations on the natural history of this world of matter, and this world of life in two parts : being a philosophical discourse, grounded upon the Mosaick system of the creation and the flood : to which are added some thoughts concerning paradise, the conflagration by Tho. Robinson ...",1696-01-01,fire the cause of the saltness of the sea as well,,,,,,,,,
138,"New observations on the natural history of this world of matter, and this world of life in two parts : being a philosophical discourse, grounded upon the Mosaick system of the creation and the flood : to which are added some thoughts concerning paradise, the conflagration by Tho. Robinson ...",1696-01-01,the fresh water and the salt causeth a conconstant heat and,,,,1,,,,,
156,"Of natural & supernatural things also of the first tincture, root, and spirit of metals and minerals, how the same are conceived, generated, brought forth, changed, and augmented / [by] Basilius Valentinus ; translated out of high Dutch by Daniel Cable ; whereunto is added Frier Roger Bacon,  Of the medicine or tincture of antimony; Mr. John Isaac Holland, his Work of Saturn; and Alex. Van Suchten, Of the secrets of antimony.",1671-01-01,to life by the spiritual sulphur that it becomes celestial with,,,,,1,,,,
160,"Of natural & supernatural things also of the first tincture, root, and spirit of metals and minerals, how the same are conceived, generated, brought forth, changed, and augmented / [by] Basilius Valentinus ; translated out of high Dutch by Daniel Cable ; whereunto is added Frier Roger Bacon,  Of the medicine or tincture of antimony; Mr. John Isaac Holland, his Work of Saturn; and Alex. Van Suchten, Of the secrets of antimony.",1671-01-01,tincture of mars or the sulphur of iron is found in,,,,1,,,,,
165,"A medicinal dispensatory, containing the whole body of physick discovering the natures, properties, and vertues of vegetables, minerals, & animals, the manner of compounding medicaments, and the way to administer them : methodically digested in five books of philosophical and pharmaceutical institutions, three books of physical materials galenical and chymical : together with a most perfect and absolute pharmacopoea or apothecaries shop : accommodated with three useful tables / composed by the illustrious Renodæus ... ; and now Englished and revised, by Richard Tomlinson of London, apothecary.",1657-01-01,goats grease for alum fossile salt for althea mallowes for arsenick,,,,1,,,,,
166,"A medicinal dispensatory, containing the whole body of physick discovering the natures, properties, and vertues of vegetables, minerals, & animals, the manner of compounding medicaments, and the way to administer them : methodically digested in five books of philosophical and pharmaceutical institutions, three books of physical materials galenical and chymical : together with a most perfect and absolute pharmacopoea or apothecaries shop : accommodated with three useful tables / composed by the illustrious Renodæus ... ; and now Englished and revised, by Richard Tomlinson of London, apothecary.",1657-01-01,first sweet secondly unsavoury thirdly salt medicaments sweet because these newly,,,,1,,,,,
167,"A medicinal dispensatory, containing the whole body of physick discovering the natures, properties, and vertues of vegetables, minerals, & animals, the manner of compounding medicaments, and the way to administer them : methodically digested in five books of philosophical and pharmaceutical institutions, three books of physical materials galenical and chymical : together with a most perfect and absolute pharmacopoea or apothecaries shop : accommodated with three useful tables / composed by the illustrious Renodæus ... ; and now Englished and revised, by Richard Tomlinson of London, apothecary.",1657-01-01,have known many who taking quicksilver from the unskilful have either,,,,,,,,,
168,"Philosophical letters, or, Modest reflections upon some opinions in natural philosophy maintained by several famous and learned authors of this age, expressed by way of letters / by the thrice noble, illustrious, and excellent princess the Lady Marchioness of Newcastle.",1664-01-01,more subtil and active then quicksilver or light so as i,,,,1,,,,,
169,"Philosophical letters, or, Modest reflections upon some opinions in natural philosophy maintained by several famous and learned authors of this age, expressed by way of letters / by the thrice noble, illustrious, and excellent princess the Lady Marchioness of Newcastle.",1664-01-01,had transchanged  parts of quicksilver equal to it self into,,,,1,,,,,
174,"Philosophical letters, or, Modest reflections upon some opinions in natural philosophy maintained by several famous and learned authors of this age, expressed by way of letters / by the thrice noble, illustrious, and excellent princess the Lady Marchioness of Newcastle.",1664-01-01,wherefore a constant or common salt diet cannot but be hurtful,,,,,,,,,
175,"The wonders of the little world, or, A general history of man in six books : wherein by many thousands of examples is shewed what man hath been from the first ages of the world to these times, in respect of his body, senses, passions, affections, his virtues and perfections, his vices and defects, his quality, vocation and profession, and many other particulars not reducible to any of the former heads : collected from the writings of the most approved historians, philosophers, physicians, philologists and others / by Nath. Wanley ...",1673-01-01,to his care to be salted and embalmed dr brown in,,,,,,,,,
176,"The wonders of the little world, or, A general history of man in six books : wherein by many thousands of examples is shewed what man hath been from the first ages of the world to these times, in respect of his body, senses, passions, affections, his virtues and perfections, his vices and defects, his quality, vocation and profession, and many other particulars not reducible to any of the former heads : collected from the writings of the most approved historians, philosophers, physicians, philologists and others / by Nath. Wanley ...",1673-01-01,and water of tamarind and salt things his usual drink is,,,,1,,,,,
180,"The wonders of the little world, or, A general history of man in six books : wherein by many thousands of examples is shewed what man hath been from the first ages of the world to these times, in respect of his body, senses, passions, affections, his virtues and perfections, his vices and defects, his quality, vocation and profession, and many other particulars not reducible to any of the former heads : collected from the writings of the most approved historians, philosophers, physicians, philologists and others / by Nath. Wanley ...",1673-01-01,some that familiarly eat of salt meats and yet were never,,,,,,,,,
186,The art of chymistry as it is now practiced / written in French by P. Thibaut ... ; and now translated into English by a fellow of the Royal Society.,1675-01-01,good part of the said salt with the oyl but in,,,,1,,,,,
187,The art of chymistry as it is now practiced / written in French by P. Thibaut ... ; and now translated into English by a fellow of the Royal Society.,1675-01-01,that the spirits of salt niter and vitriol are not,,,,1,,,,,
188,The art of chymistry as it is now practiced / written in French by P. Thibaut ... ; and now translated into English by a fellow of the Royal Society.,1675-01-01,crystal  its vertues  salt decrepitated what  salt of,,,,1,,,,,
210,"Academia scientiarum, or, The academy of sciences being a short and easie introduction to the knowledge of the liberal arts and sciences, with the names of those famous authors that have written on every particular science : in English and Latine / by D. Abercromby ...",1687-01-01,is a great destroyer of salts and acids two general causes,,,,1,,,,,
211,"Academia scientiarum, or, The academy of sciences being a short and easie introduction to the knowledge of the liberal arts and sciences, with the names of those famous authors that have written on every particular science : in English and Latine / by D. Abercromby ...",1687-01-01,in this order the moon mercury venus the sun mars jupiter,,,,,,,,,
212,"Academia scientiarum, or, The academy of sciences being a short and easie introduction to the knowledge of the liberal arts and sciences, with the names of those famous authors that have written on every particular science : in English and Latine / by D. Abercromby ...",1687-01-01,caesalpinus the act of making salt water fresh was lately invented,,,,1,,,,,
219,"[Pharmako-basanos]: or, The touch-stone of medicines. Discovering the vertues of [brace] vegetables, minerals, & animals, by their tastes & smells. : In two volumes. / By Sir John Floyer ...",1687-01-01,bitterish and brackish aquae fontanae sulphureae sulphur vivum flores sulphuris are,,,,1,,,,,
222,"[Pharmako-basanos]: or, The touch-stone of medicines. Discovering the vertues of [brace] vegetables, minerals, & animals, by their tastes & smells. : In two volumes. / By Sir John Floyer ...",1687-01-01,difference betwixt volatile and fixt salts and that an acid is,,,,1,,,,,
224,"Four books of Johannes Segerus Weidenfeld concerning the secrets of the adepts, or, of the use of Lully's spirit of wine : a practical work, with very great study collected out of the ancient as well as modern fathers of adept philosophy : reconciled together by comparing them one with another, otherwise disagreeing, and in the newest method so aptly digested, that even young practitioners may be able to discern the counterfeit or sophistical preparations of animals, vegetables and minerals, whether for medicines or metals, from true, and so avoid vagabound imposters, and imaginary processes, together with the ruine of estates.",1685-01-01,will see our menstruum or mercury clearer than cristal and more,,,,1,,,,,
225,"Four books of Johannes Segerus Weidenfeld concerning the secrets of the adepts, or, of the use of Lully's spirit of wine : a practical work, with very great study collected out of the ancient as well as modern fathers of adept philosophy : reconciled together by comparing them one with another, otherwise disagreeing, and in the newest method so aptly digested, that even young practitioners may be able to discern the counterfeit or sophistical preparations of animals, vegetables and minerals, whether for medicines or metals, from true, and so avoid vagabound imposters, and imaginary processes, together with the ruine of estates.",1685-01-01,the salt draw all the saltness from the calcined matter with,,,,1,,,,,
227,"Four books of Johannes Segerus Weidenfeld concerning the secrets of the adepts, or, of the use of Lully's spirit of wine : a practical work, with very great study collected out of the ancient as well as modern fathers of adept philosophy : reconciled together by comparing them one with another, otherwise disagreeing, and in the newest method so aptly digested, that even young practitioners may be able to discern the counterfeit or sophistical preparations of animals, vegetables and minerals, whether for medicines or metals, from true, and so avoid vagabound imposters, and imaginary processes, together with the ruine of estates.",1685-01-01,you increase   the salt of wine as you please,,,,1,,,,,
228,"Four books of Johannes Segerus Weidenfeld concerning the secrets of the adepts, or, of the use of Lully's spirit of wine : a practical work, with very great study collected out of the ancient as well as modern fathers of adept philosophy : reconciled together by comparing them one with another, otherwise disagreeing, and in the newest method so aptly digested, that even young practitioners may be able to discern the counterfeit or sophistical preparations of animals, vegetables and minerals, whether for medicines or metals, from true, and so avoid vagabound imposters, and imaginary processes, together with the ruine of estates.",1685-01-01,must know that your dissolved sulphur is that which we taught,,,,1,,,,,
232,"The paradoxal discourses of F.M. Van Helmont concerning the macrocosm and microcosm, or, The greater and lesser world and their union set down in writing by J.B. and now published.",1685-01-01,great quantity of common combustible sulphur which abounds therein may be,,,,1,,,,,
235,"The paradoxal discourses of F.M. Van Helmont concerning the macrocosm and microcosm, or, The greater and lesser world and their union set down in writing by J.B. and now published.",1685-01-01,of salts as alloms vitriols salt armoniack salt petre sea salt,,,,1,,,,,
236,"The paradoxal discourses of F.M. Van Helmont concerning the macrocosm and microcosm, or, The greater and lesser world and their union set down in writing by J.B. and now published.",1685-01-01,exposed to be stored with salt petre anew as being impregnated,,,,1,,,,,
240,Experimental notes of the mechanical origine or production of fixtness.,1675-01-01,the finer parts of the salts by the operation of the,,,,1,,,,,
241,Experimental notes of the mechanical origine or production of fixtness.,1675-01-01,d spirit of wine and mercury and also metals and glass,,,,1,,,,,
242,Experimental notes of the mechanical origine or production of fixtness.,1675-01-01,which will not as the salts it consists of will doe,,,,1,,,,,
243,Experimental notes of the mechanical origine or production of fixtness.,1675-01-01,ascend much nimblier by the salt than just before by the,,,,1,,,,,
244,Experimental notes of the mechanical origine or production of fixtness.,1675-01-01,and gold and silver and mercury and i know not how,,,,1,,,,,
245,"A plain introduction to the art of physick containing the fundamentals, and necessary preliminaries to practice ... : to which is added, The materia medica contracted, and alphabetical tables of the vertues of roots, barks, woods, herbs, flowers, seeds, fruits, juices and gums ... : also a collection of choice medicines chymical and Galenical, together with a different way of making the most celebrated compositions in the apothecaries shops / by J. Pechey ...",1697-01-01,proper liquor sweet spirit of salt take of spirit of salt,,,,1,,,,,
246,"A plain introduction to the art of physick containing the fundamentals, and necessary preliminaries to practice ... : to which is added, The materia medica contracted, and alphabetical tables of the vertues of roots, barks, woods, herbs, flowers, seeds, fruits, juices and gums ... : also a collection of choice medicines chymical and Galenical, together with a different way of making the most celebrated compositions in the apothecaries shops / by J. Pechey ...",1697-01-01,and sulphureous part of the sulphur and so has lost the,,,,1,,,,,
247,"A plain introduction to the art of physick containing the fundamentals, and necessary preliminaries to practice ... : to which is added, The materia medica contracted, and alphabetical tables of the vertues of roots, barks, woods, herbs, flowers, seeds, fruits, juices and gums ... : also a collection of choice medicines chymical and Galenical, together with a different way of making the most celebrated compositions in the apothecaries shops / by J. Pechey ...",1697-01-01,of brimstone take of crude sulphur powdered half a pound of,,,,1,,,,,
248,"A plain introduction to the art of physick containing the fundamentals, and necessary preliminaries to practice ... : to which is added, The materia medica contracted, and alphabetical tables of the vertues of roots, barks, woods, herbs, flowers, seeds, fruits, juices and gums ... : also a collection of choice medicines chymical and Galenical, together with a different way of making the most celebrated compositions in the apothecaries shops / by J. Pechey ...",1697-01-01,remedies indued with an alcalizat salt for these are commonly reputed,,,,1,,,,,
249,"A plain introduction to the art of physick containing the fundamentals, and necessary preliminaries to practice ... : to which is added, The materia medica contracted, and alphabetical tables of the vertues of roots, barks, woods, herbs, flowers, seeds, fruits, juices and gums ... : also a collection of choice medicines chymical and Galenical, together with a different way of making the most celebrated compositions in the apothecaries shops / by J. Pechey ...",1697-01-01,the clear balsom from the sulphur that could not dissolve this,,,,1,,,,,
250,"A plain introduction to the art of physick containing the fundamentals, and necessary preliminaries to practice ... : to which is added, The materia medica contracted, and alphabetical tables of the vertues of roots, barks, woods, herbs, flowers, seeds, fruits, juices and gums ... : also a collection of choice medicines chymical and Galenical, together with a different way of making the most celebrated compositions in the apothecaries shops / by J. Pechey ...",1697-01-01,distil and a little volatile salt will stick to the sides,,,,1,,,,,
251,"A plain introduction to the art of physick containing the fundamentals, and necessary preliminaries to practice ... : to which is added, The materia medica contracted, and alphabetical tables of the vertues of roots, barks, woods, herbs, flowers, seeds, fruits, juices and gums ... : also a collection of choice medicines chymical and Galenical, together with a different way of making the most celebrated compositions in the apothecaries shops / by J. Pechey ...",1697-01-01,from ten to thirty grains salt of coral take what quantity,,,,1,,,,,
252,"The wise-mans crown, or, The glory of the rosie-cross shewing the wonderful power of nature, with the full discovery of the true cœlum terræ, or first matter of metals, and their preparations into incredible medicines or elixirs that cure all diseases in young or old : with the regio lucis, and holy houshold of rosie crucian philosophers / communicated to the world by John Heydon, Gent. ...",1664-01-01,be a conjunction of our salt as is before described hereafter,,,,1,,,,,
253,"The wise-mans crown, or, The glory of the rosie-cross shewing the wonderful power of nature, with the full discovery of the true cœlum terræ, or first matter of metals, and their preparations into incredible medicines or elixirs that cure all diseases in young or old : with the regio lucis, and holy houshold of rosie crucian philosophers / communicated to the world by John Heydon, Gent. ...",1664-01-01,shall have a yellowish red salt in the bottom which then,,,,1,,,,,
254,"The wise-mans crown, or, The glory of the rosie-cross shewing the wonderful power of nature, with the full discovery of the true cœlum terræ, or first matter of metals, and their preparations into incredible medicines or elixirs that cure all diseases in young or old : with the regio lucis, and holy houshold of rosie crucian philosophers / communicated to the world by John Heydon, Gent. ...",1664-01-01,times the calcine it with sulphur as you did before when,,,,1,,,,,
255,"The wise-mans crown, or, The glory of the rosie-cross shewing the wonderful power of nature, with the full discovery of the true cœlum terræ, or first matter of metals, and their preparations into incredible medicines or elixirs that cure all diseases in young or old : with the regio lucis, and holy houshold of rosie crucian philosophers / communicated to the world by John Heydon, Gent. ...",1664-01-01,this elixir but onely the sulphur of alone created of his,,,,1,,,,,
256,"The wise-mans crown, or, The glory of the rosie-cross shewing the wonderful power of nature, with the full discovery of the true cœlum terræ, or first matter of metals, and their preparations into incredible medicines or elixirs that cure all diseases in young or old : with the regio lucis, and holy houshold of rosie crucian philosophers / communicated to the world by John Heydon, Gent. ...",1664-01-01,conjunction  putrefaction  sulphur  fermentation  elixir exaltation,,,,1,,,,,
257,"The wise-mans crown, or, The glory of the rosie-cross shewing the wonderful power of nature, with the full discovery of the true cœlum terræ, or first matter of metals, and their preparations into incredible medicines or elixirs that cure all diseases in young or old : with the regio lucis, and holy houshold of rosie crucian philosophers / communicated to the world by John Heydon, Gent. ...",1664-01-01,of spirits as of vitrioll sulphur as well and the like,,,,1,,,,,
258,"The wise-mans crown, or, The glory of the rosie-cross shewing the wonderful power of nature, with the full discovery of the true cœlum terræ, or first matter of metals, and their preparations into incredible medicines or elixirs that cure all diseases in young or old : with the regio lucis, and holy houshold of rosie crucian philosophers / communicated to the world by John Heydon, Gent. ...",1664-01-01,a red colour when your sulphure is thus converted imbibe it,,,,1,,,,,
260,"The practise of chymicall, and hermeticall physicke, for the preseruation of health. Written in Latin by Iosephus Quersitanus, Doctor of Phisicke. And translated into English, by Thomas Timme, minister",1605-01-01,the salt especially in that salt which by nature is sulphurus,,,,,1,,,,
280,"A compleat history of the most remarkable providences both of judgment and mercy, which have hapned in this present age extracted from the best writers, the author's own observations, and the numerous relations sent him from divers parts of the three kingdoms : to which is added, whatever is curious in the works of nature and art / the whole digested into one volume, under proper heads, being a work set on foot thirty years ago, by the Reverend Mr. Pool, author of the Synopsis criticorum ; and since undertaken and finish'd, by William Turner...",1697-01-01,p   weights of salt are computed to be made,,,,1,,,,,
